Model,eu-central-1,eu-west-1,eu-west-2,eu-west-3,
Amazon Titan Text G1 - Express,Yes,Yes,Yes,Yes,
Amazon Titan Text G1 - Lite,Yes,Yes,Yes,Yes,
Amazon Titan Text Premier,No,No,No,No,
Amazon Titan Embeddings G1 - Text,Yes,No,No,No,
Amazon Titan Text Embeddings V2,Yes,Yes,Yes,No,
Amazon Titan Multimodal Embeddings G1,Yes,Yes,Yes,Yes,
Amazon Titan Image Generator G1 V1,No,Yes,Yes,No,
Amazon Titan Image Generator G1 V2,No,No,No,No,
Anthropic Claude v2 (18K context window),Yes,No,No,No,
Anthropic Claude v2.1 (200K context window),Yes,Yes,No,No,
Anthropic Claude Instant v1.x (18K context window),No,Yes,No,No,
Anthropic Claude Instant v1.x (100K context window),Yes,Yes,No,No,
Anthropic Claude 3 Haiku,Yes,Yes,Yes,Yes,
Anthropic Claude 3 Sonnet,Yes,Yes,Yes,Yes,
Anthropic Claude 3 Opus,No,No,No,No,
Anthropic Claude 3.5 Sonnet,Yes,Yes,No,No,
Cohere Embed English,Yes,Yes,No,Yes,
Cohere Embed Multilingual,Yes,Yes,No,Yes,
Mistral AI Mistral 7B Instruct,No,Yes,Yes,Yes,
Mistral AI Mixtral 8X7B Instruct,No,Yes,Yes,Yes,
Mistral AI Mistral Large,No,Yes,Yes,Yes,
Mistral AI Mistral Small,No,No,No,No,
Meta Llama 3 8B Instruct,No,No,Yes,No,
Meta Llama 3 70B Instruct,No,No,Yes,No,
Meta Llama 3.1 8B Instruct,No,No,No,No,
Meta Llama 3.1 70B Instruct,No,No,No,No,
Meta Llama 3.1 405B Instruct,No,No,No,No,
Meta Llama 3.2 1B Instruct,No,No,No,No,
Meta Llama 3.2 3B Instruct,No,No,No,No,
Meta Llama 3.2 11B Instruct,No,No,No,No,
Meta Llama 3.2 90B Instruct,No,No,No,No,
